mode, epoch, average loss, defender utility,
training,8,0.111826932,-1.718196728,0
validating,8,0.116786985,-1.61782338,0
testing,8,0.123636261,-2.535566325,0
training,9,0.106904404,-1.716722925,0
validating,9,0.109785629,-1.570315725,0
testing,9,0.115647139,-2.439234568,0
training,10,0.101138187,-1.69973895,0
validating,10,0.102622164,-1.451361954,0
testing,10,0.108606913,-2.444809858,0
training,11,0.096509086,-1.71301687,0
validating,11,0.098504896,-1.515500802,0
testing,11,0.102950744,-2.329468209,0
training,12,0.093242387,-1.716510049,0
validating,12,0.092705044,-1.432898587,0
testing,12,0.097899983,-2.3178905,0
training,13,0.08960878,-1.703312529,0
validating,13,0.090295622,-1.419272327,0
testing,13,0.094279338,-2.301357792,0
training,14,0.086754309,-1.712544214,0
validating,14,0.087526524,-1.397557032,0
testing,14,0.090570597,-2.284292811,0
training,15,0.084841493,-1.691107124,0
validating,15,0.086120546,-1.373651195,0
testing,15,0.087323016,-2.25224922,0
training,16,0.082179055,-1.70532388,0
validating,16,0.081943082,-1.47257883,0
testing,16,0.084901647,-2.278423143,0
training,17,0.081285158,-1.721424488,0
validating,17,0.078445818,-1.394728482,0
testing,17,0.083539886,-2.264032394,0
training,18,0.080507135,-1.71017798,0
validating,18,0.079184622,-1.431652099,0
testing,18,0.08116796,-2.250923759,0
training,19,0.079426182,-1.690826521,0
validating,19,0.07567537,-1.347969371,0
testing,19,0.081022801,-2.266908028,0
mode, epoch, average loss, defender utility,
training,-1,0.200105039,-1.042358192,0
validating,-1,0.220199668,-0.968710776,0
testing,-1,0.189428753,-1.033062625,0
training,0,3.756085382,-4.718048246,0
validating,0,3.725033331,-4.712683487,0
testing,0,3.770027733,-4.731897974,0
training,1,3.602683285,-4.6845735,0
validating,1,3.09445219,-4.564656162,0
testing,1,3.063883853,-4.533947229,0
training,2,1.727852046,-4.240819593,0
validating,2,0.914587939,-3.036814987,0
testing,2,0.674263287,-2.630250906,0
training,3,0.790520614,-1.910943511,0
validating,3,0.827216399,-1.822142245,0
testing,3,0.596801841,-1.90885295,0
training,4,0.703011117,-1.660982657,0
validating,4,0.741130066,-1.386573023,0
testing,4,0.527425992,-1.794714022,0
training,5,0.621265158,-1.323579488,0
validating,5,0.65340848,-1.298305885,0
testing,5,0.469155884,-1.643008597,0
training,6,0.526735197,-1.156744527,0
validating,6,0.542440414,-1.207936914,0
testing,6,0.39119451,-1.213364984,0
training,7,0.436611997,-1.071581785,0
validating,7,0.437281537,-1.115311278,0
testing,7,0.318154037,-1.058471064,0
training,8,0.358848082,-0.996013651,0
validating,8,0.36304903,-1.02838704,0
testing,8,0.285416293,-1.014592884,0
training,9,0.310180081,-1.009869765,0
validating,9,0.340542722,-1.04089438,0
testing,9,0.291620272,-0.9950582,0
training,10,0.278467637,-0.971233676,0
validating,10,0.278298402,-1.002963336,0
testing,10,0.239780885,-1.013798302,0
training,11,0.251859971,-0.987456805,0
validating,11,0.25112524,-0.989649348,0
testing,11,0.219495201,-1.035951717,0
training,12,0.24236033,-0.991374069,0
validating,12,0.246765447,-0.979261523,0
testing,12,0.216522783,-1.039186059,0
