mode, epoch, average loss, defender utility,
training,14,0.287847887,-2.65771263,-2.921431303
validating,14,-0.215414417,-2.623654079,-2.393168926
testing,14,0.344404739,-2.681164455,-3.222216129
training,15,0.287387826,-2.656443037,-2.519622326
validating,15,-0.212882507,-2.624022675,-2.232508659
testing,15,0.351012474,-2.679863238,-2.615427256
training,16,0.284180556,-2.657964345,-2.345217466
validating,16,-0.216035199,-2.624435616,-2.131208897
testing,16,0.345491058,-2.680517459,-2.216863155
training,17,0.286595757,-2.658059549,-3.15234828
validating,17,-0.215253699,-2.623707151,0
testing,17,0.34659273,-2.680758071,-1.502345681
training,18,0.284096919,-2.65766761,-2.799418449
validating,18,-0.218142056,-2.623738623,0
testing,18,0.341182345,-2.681038523,-2.262641191
training,19,0.28072629,-2.657267223,-2.604757309
validating,19,-0.213527656,-2.623882055,-2.441486359
testing,19,0.352873379,-2.679381251,-3.535733461
mode, epoch, average loss, defender utility,
training,-1,0,-1.794696386,-1.31407392
validating,-1,0,-1.83816402,-0.827246547
testing,-1,0,-1.83255682,-1.598644257
training,0,1.457121847,-1.961609674,-1.38788271
validating,0,2.614810133,-1.947329354,-0.747395396
testing,0,2.026088059,-1.938864326,-2.043167591
training,1,1.434682579,-1.951170887,-2.046761751
validating,1,2.300762224,-1.895806003,-2.895623684
testing,1,1.867638254,-1.887875152,-2.464932203
training,2,1.018992349,-1.829563131,-2.134192467
validating,2,0.829990697,-1.754020238,-0.598288357
testing,2,1.127242124,-1.779779446,-1.777105331
training,3,0.708082649,-1.76324889,-1.853794813
validating,3,0.703573155,-1.698016763,-1.712476134
testing,3,0.946841431,-1.722183609,-1.562885046
training,4,0.619537359,-1.71973955,-1.697565556
validating,4,0.930653334,-1.64981246,-0.444754064
testing,4,0.923280126,-1.688954747,-1.688783407
training,5,0.548262915,-1.697239511,-1.497721553
validating,5,1.554896641,-1.648547864,-1.898937583
testing,5,1.141630569,-1.690468276,-2.057252169
training,6,0.711411587,-1.688723922,-2.054176092
validating,6,1.46508441,-1.640901279,-1.866142273
testing,6,1.061119071,-1.679547954,-0.930608451
training,7,0.730804757,-1.688401835,-1.477077484
validating,7,1.773464108,-1.640987492,-1.373190999
testing,7,1.190855452,-1.684404814,-2.0851717
training,8,0.641647882,-1.686661465,-1.387342334
validating,8,1.892173767,-1.635855317,-0.585376501
testing,8,1.2300769,-1.682126307,-1.698237419
training,9,0.6887408,-1.682403118,-1.670620561
validating,9,1.661526585,-1.625641775,-1.313481927
testing,9,1.11526905,-1.674742305,-1.822190285
training,10,0.675446522,-1.680153796,-1.351394892
validating,10,1.879007053,-1.639240217,-0.640442491
testing,10,1.226660499,-1.679725039,-1.252703905
training,11,0.719014376,-1.679456902,-1.584709406
validating,11,1.828790855,-1.630572176,-2.771459103
testing,11,1.197826937,-1.676342511,-0.910647035
training,12,0.561495961,-1.680138261,-1.549008846
validating,12,1.766935635,-1.621000314,-0.543520331
testing,12,1.167232916,-1.670775187,-1.618329763
training,13,0.688369054,-1.682218402,-1.041922331
validating,13,1.854853058,-1.626728511,-0.809459686
testing,13,1.204328355,-1.671539986,-2.071516514
training,14,0.687496667,-1.676271898,-1.826861739
validating,14,1.851989651,-1.626152372,-2.195117474
testing,14,1.203191468,-1.671569371,-1.528594851
training,15,0.6715669,-1.677936905,-1.365146756
validating,15,1.792530394,-1.621269369,-3.37650919
testing,15,1.176294455,-1.670162344,-2.473896027
training,16,0.679845784,-1.677743445,-1.696532607
validating,16,1.827923679,-1.622291136,-1.562903523
testing,16,1.190179041,-1.669909704,-0.590310574
training,17,0.679122995,-1.677635135,-1.622063875
validating,17,1.80545516,-1.618635368,-1.626372933
testing,17,1.178601995,-1.669273794,-1.505499125
training,18,0.668178185,-1.67948201,-1.667616487
validating,18,1.781180286,-1.618591571,-1.135254025
testing,18,1.166779736,-1.668537021,-1.418489933
training,19,0.668068443,-1.677876598,-1.487159252
validating,19,1.793338728,-1.617920351,-0.750231624
testing,19,1.170909914,-1.671615565,-1.812204361
