Random seed, 7
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
testing, 8, 0.9269428253173828, -1.4243781089782714, 0.0, -1.3227293968200684
training, 9, 0.8489980561392648, -1.2321212921823774, 0.0, -1.1123396158218384
validating, 9, 1.3382879734039306, -1.41663601398468, 0.0, -1.4640353202819825
testing, 9, 0.831163740158081, -1.4473419070243836, 0.0, -1.3289021253585815
training, 10, 0.934883873803275, -1.1407201877662114, 0.0, -1.1035598516464233
validating, 10, 1.4299046993255615, -1.5997354507446289, 0.0, -1.5120091676712035
testing, 10, 1.0057692766189574, -1.357354497909546, 0.0, -1.3454467177391052
training, 11, 0.8885941641671317, -1.1885396216596875, 0.0, -1.1051857471466064
validating, 11, 1.3470585346221924, -1.3446709394454956, 0.0, -1.4806915521621704
testing, 11, 0.7865823030471801, -1.425854992866516, 0.0, -1.335387361049652
training, 12, 0.8158825533730644, -1.3324434910501752, 0.0, -1.1040703058242798
validating, 12, 1.334031343460083, -1.5275513648986816, 0.0, -1.448440933227539
testing, 12, 0.8570653915405273, -1.4786054193973541, 0.0, -1.3229785859584808
training, 13, 0.8607325758252825, -1.229115240914481, 0.0, -1.0975708961486816
validating, 13, 1.3307443141937256, -1.5168617963790894, 0.0, -1.4519501447677612
testing, 13, 0.827097487449646, -1.3730220079421998, 0.0, -1.3239855408668517
training, 14, 0.8057194573538644, -1.3022045407976424, 0.0, -1.1004496812820435
validating, 14, 1.3319688320159913, -1.4626994848251342, 0.0, -1.4420810222625733
testing, 14, 0.781511378288269, -1.561306881904602, 0.0, -1.3263388574123383
training, 15, 0.8049878801618303, -1.2249472396714347, 0.0, -1.1023402214050293
validating, 15, 1.347832727432251, -1.3614827394485474, 0.0, -1.4733997106552124
testing, 15, 0.8424773693084717, -1.4682562887668609, 0.0, -1.3290583133697509
training, 16, 0.8805874007088798, -1.1518745745931354, 0.0, -1.0982683897018433
validating, 16, 1.4116771697998047, -1.5843191623687745, 0.0, -1.4956626892089844
testing, 16, 0.9658696174621582, -1.3912615954875946, 0.0, -1.3364150762557983
training, 17, 0.9341874326978411, -1.1187245488166808, 0.0, -1.0956220626831055
validating, 17, 1.4056503295898437, -1.5751230001449585, 0.0, -1.487037754058838
testing, 17, 0.9429081916809082, -1.4378832221031188, 0.0, -1.334285444021225
training, 18, 0.8955221312386649, -1.1555016423974718, 0.0, -1.0979591608047485
validating, 18, 1.3572398662567138, -1.5619179487228394, 0.0, -1.459341335296631
testing, 18, 0.8626925945281982, -1.3138176262378694, 0.0, -1.3304551601409913
training, 19, 0.8180623735700335, -1.2343766570091248, 0.0, -1.102165699005127
validating, 19, 1.389490509033203, -1.5345056295394897, 0.0, -1.5116985082626342
testing, 19, 0.7917347192764282, -1.4573046624660493, 0.0, -1.3426705479621888
training, 20, 0.8023062297276088, -1.2430624238082342, 0.0, -1.0955084562301636
validating, 20, 1.3747308731079102, -1.2848223447799683, 0.0, -1.4754834175109863
testing, 20, 0.842879056930542, -1.4918985307216643, 0.0, -1.3340442180633545
training, 21, 0.8513918331691197, -1.1781454495021275, 0.0, -1.095632791519165
validating, 21, 1.3920348644256593, -1.578549075126648, 0.0, -1.4912364959716797
testing, 21, 0.8800954341888427, -1.4371083676815033, 0.0, -1.3373575687408448
training, 22, 0.8552497114453997, -1.2205048246043069, 0.0, -1.0949689149856567
validating, 22, 1.3768407821655273, -1.465654182434082, 0.0, -1.4834965944290162
testing, 22, 0.8583200931549072, -1.443863570690155, 0.0, -1.33707395195961
training, 23, 0.8518742152622768, -1.17373263665608, 0.0, -1.1038895845413208
validating, 23, 1.3561978816986084, -1.277565884590149, 0.0, -1.4514115810394288
testing, 23, 0.804158067703247, -1.5185288906097412, 0.0, -1.3345688223838805
training, 24, 0.7919624260493687, -1.2968845656939916, 0.0, -1.095862865447998
validating, 24, 1.3656331539154052, -1.3333110809326172, 0.0, -1.4647166013717652
testing, 24, 0.7737350463867188, -1.4304198026657104, 0.0, -1.3363782584667205
training, 25, 0.797092206137521, -1.2003794414656503, 0.0, -1.093571424484253
